City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
199,Cabo San Lucas,MX,90.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
203,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
206,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
212,Sikeston,US,85.96,clear sky,36.8767,-89.5879,Drury Inn & Suites Sikeston
218,Orange Cove,US,91.6,broken clouds,36.6244,-119.3137,
223,Port Moresby,PG,81.82,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
224,San Jose,US,82.58,broken clouds,37.3394,-121.895,The Westin San Jose
233,Gizo,SB,83.32,light rain,-8.103,156.8419,Imagination Island
236,Gao,ML,88.66,clear sky,16.6362,1.637,
255,Lorengau,PG,84.2,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Namatanai,PG,84.0,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
261,Cairns,AU,78.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
270,Havelock,US,78.8,clear sky,34.8791,-76.9013,Sherwood Motel
274,Veraval,IN,81.09,few clouds,20.9,70.3667,Lords Inn Somnath
275,La Asuncion,VE,83.93,few clouds,11.0333,-63.8628,Colinas de Matasiete
276,San Ramon,US,82.62,clear sky,37.7799,-121.978,San Ramon Marriott
286,Sakakah,SA,90.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
291,Matay,EG,81.01,clear sky,28.419,30.7792,Nag Aespen
296,Panama City,PA,82.92,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
301,Iranshahr,IR,82.54,clear sky,27.2025,60.6848,نیک سرشت
314,Portobelo,PA,80.73,overcast clouds,9.55,-79.65,Scuba Portobelo
316,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
321,Naliya,IN,79.99,clear sky,23.2667,68.8333,jadeja jayendrasinh
326,Mogadishu,SO,78.55,broken clouds,2.0371,45.3438,Hotel Juba
328,Balabac,PH,83.97,broken clouds,7.9868,117.0645,Batalla’s Lodging House
