City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
56,Punta Arenas,CL,2022-06-03 21:02:31,-53.15,-70.9167,41.11,60,100,21.74
57,Arraial Do Cabo,BR,2022-06-03 21:08:21,-22.9661,-42.0278,69.66,94,75,10.36
58,Fort Nelson,CA,2022-06-03 21:06:20,58.8053,-122.7002,77.4,21,38,7.07
59,Kautokeino,NO,2022-06-03 21:10:07,69.0125,23.0412,50.09,91,97,7.02
60,Saint-Philippe,RE,2022-06-03 21:06:35,-21.3585,55.7679,72.99,76,37,12.59
61,Tasiilaq,GL,2022-06-03 21:06:33,65.6145,-37.6368,30.36,71,2,5.84
62,Izhma,RU,2022-06-03 21:10:08,65.0083,53.9113,40.24,52,0,5.79
63,Avarua,CK,2022-06-03 21:05:09,-21.2078,-159.775,78.85,65,100,18.41
64,Tiksi,RU,2022-06-03 21:10:08,71.6872,128.8694,38.61,96,100,6.06
65,Cape Town,ZA,2022-06-03 21:03:07,-33.9258,18.4232,62.38,84,50,1.01
66,Andenes,NO,2022-06-03 21:10:08,69.3143,16.1194,51.78,87,75,13.8
67,Katherine,AU,2022-06-03 21:10:09,-14.4667,132.2667,71.92,78,99,8.05
68,Katangli,RU,2022-06-03 21:10:09,51.7102,143.2326,42.64,79,65,9.13
69,East London,ZA,2022-06-03 21:10:09,-33.0153,27.9116,63.64,31,63,6.67
70,Mahebourg,MU,2022-06-03 21:05:11,-20.4081,57.7,74.25,74,59,17.63
71,Areosa,PT,2022-06-03 21:10:10,41.7178,-8.8571,61.0,90,34,5.64
72,Los Llanos De Aridane,ES,2022-06-03 21:10:10,28.6585,-17.9182,65.95,87,40,17.27
73,Sao Pedro Da Aldeia,BR,2022-06-03 21:10:10,-22.8392,-42.1028,69.78,94,75,10.36
74,Airai,TL,2022-06-03 21:06:33,-8.9266,125.4092,57.78,89,54,2.26
75,Oyama,JP,2022-06-03 21:10:11,36.3,139.8,67.59,65,66,1.74
76,Antequera,ES,2022-06-03 21:10:11,37.0194,-4.5612,72.9,64,0,6.29
77,Matadi,CD,2022-06-03 21:10:12,-5.8167,13.45,76.06,75,29,3.58
78,Jamestown,US,2022-06-03 21:05:08,42.097,-79.2353,73.53,37,0,9.22
79,Alyangula,AU,2022-06-03 21:10:12,-13.8483,136.4192,76.66,86,100,8.52
80,Methoni,GR,2022-06-03 21:10:12,36.8197,21.7049,80.22,58,2,6.13
81,Rikitea,PF,2022-06-03 21:05:09,-23.1203,-134.9692,76.53,70,87,13.53
82,Hualmay,PE,2022-06-03 21:10:13,-11.0964,-77.6139,68.43,72,89,7.09
83,Berdigestyakh,RU,2022-06-03 21:10:14,62.0989,126.6992,59.04,62,1,5.35
84,Montrose,US,2022-06-03 21:05:54,38.4166,-108.2673,72.81,11,100,16.73
85,Mayumba,GA,2022-06-03 21:10:14,-3.432,10.6554,73.94,90,61,4.83
86,The Valley,AI,2022-06-03 21:09:26,18.217,-63.0578,84.81,71,74,12.8
87,Kuchinarai,TH,2022-06-03 21:10:15,16.541,104.05,78.1,86,100,9.08
88,Saldanha,ZA,2022-06-03 21:10:15,-33.0117,17.9442,57.78,82,35,7.85
89,Hirara,JP,2022-06-03 21:10:15,24.8,125.2833,81.23,88,100,14.34
90,Taminango,CO,2022-06-03 21:07:07,1.5749,-77.2867,64.63,89,99,3.11
91,Victoria,HK,2022-06-03 21:06:23,22.2855,114.1577,84.38,86,99,13.0
92,Verkhovazhye,RU,2022-06-03 21:11:16,60.7472,42.0465,60.49,98,100,4.76
93,Henties Bay,NA,2022-06-03 21:11:16,-22.116,14.2845,69.46,38,7,8.93
94,Suhbaatar,MN,2022-06-03 21:11:17,50.2314,106.2078,46.69,88,100,7.27
95,Bluff,NZ,2022-06-03 21:05:18,-46.6,168.3333,37.8,81,84,10.56
96,Nuuk,GL,2022-06-03 21:11:17,64.1835,-51.7216,56.01,24,40,8.05
97,Lebu,CL,2022-06-03 21:06:23,-37.6167,-73.65,53.06,93,99,16.04
98,Esperance,AU,2022-06-03 21:11:17,-33.8667,121.9,51.64,75,90,16.71
99,Klaksvik,FO,2022-06-03 21:11:18,62.2266,-6.589,50.92,82,100,9.46
