City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Namibe,AO,-15.1961,12.1522,71.74,48,45,2.51,scattered clouds
231,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,63.99,99,100,6.29,overcast clouds
232,Slave Lake,CA,55.2834,-114.769,71.58,24,0,12.66,clear sky
233,Gizo,SB,-8.103,156.8419,83.32,73,63,10.49,light rain
234,Kapit,MY,2.0167,112.9333,73.9,99,87,0.85,moderate rain
235,Agirish,RU,61.9247,63.0231,39.88,57,1,3.69,clear sky
236,Gao,ML,16.6362,1.637,88.66,12,1,4.07,clear sky
237,Wainwright,CA,52.839,-110.8572,62.26,49,100,15.97,overcast clouds
238,Honningsvag,NO,70.9821,25.9704,44.35,70,75,2.3,broken clouds
239,Zhuanghe,CN,39.7008,122.9911,60.6,88,100,16.4,heavy intensity rain
240,Ayan,RU,56.45,138.1667,57.58,61,18,6.87,few clouds
241,Manoel Urbano,BR,-8.8389,-69.2597,77.0,81,100,1.68,overcast clouds
242,Kiama,AU,-34.6833,150.8667,55.58,56,22,20.0,few clouds
243,Constitucion,CL,-35.3333,-72.4167,53.19,84,42,3.62,scattered clouds
244,Pisco,PE,-13.7,-76.2167,65.01,82,0,19.57,clear sky
245,Kamenka,RU,51.3223,42.7678,54.05,92,100,9.89,overcast clouds
246,Saldanha,ZA,-33.0117,17.9442,55.45,40,2,7.54,clear sky
247,Souillac,MU,-20.5167,57.5167,71.98,88,75,9.22,light intensity shower rain
248,Beidao,CN,34.5686,105.8933,70.86,41,96,0.83,overcast clouds
249,Srinagar,IN,34.0833,74.8167,61.23,44,6,1.57,clear sky
250,Provideniya,RU,64.3833,-173.3,44.37,81,0,8.99,clear sky
251,Rocha,UY,-34.4833,-54.3333,52.74,93,99,3.69,overcast clouds
252,Planadas,CO,3.197,-75.6451,75.63,94,76,3.89,broken clouds
253,Clyde River,CA,70.4692,-68.5914,32.23,93,0,6.91,clear sky
254,Brae,GB,60.3964,-1.353,48.69,88,45,1.54,scattered clouds
255,Lorengau,PG,-2.0226,147.2712,84.2,62,6,6.02,clear sky
256,Marawi,PH,7.9986,124.2928,74.23,76,100,0.92,overcast clouds
257,Port Blair,IN,11.6667,92.75,75.24,100,100,2.3,moderate rain
258,Werda,BW,-25.2667,23.2833,54.28,35,58,8.77,broken clouds
259,Pacific Grove,US,36.6177,-121.9166,76.33,79,75,10.36,broken clouds
260,Namatanai,PG,-3.6667,152.4333,84.0,66,60,3.53,broken clouds
261,Cairns,AU,-16.9167,145.7667,78.06,85,100,4.61,overcast clouds
262,Waddan,LY,29.1614,16.139,77.58,39,0,2.53,clear sky
263,Trairi,BR,-3.2778,-39.2689,74.12,94,91,8.57,overcast clouds
264,Waw,SS,7.7029,27.9953,71.92,79,34,5.17,scattered clouds
265,Zhigansk,RU,66.7697,123.3711,62.2,51,94,3.47,overcast clouds
266,Henties Bay,NA,-22.116,14.2845,69.69,40,100,7.58,overcast clouds
267,Jaguariaiva,BR,-24.2511,-49.7058,55.96,89,37,2.71,scattered clouds
268,Mayo,US,38.8876,-76.5119,77.41,50,0,10.36,clear sky
269,Leningradskiy,RU,69.3833,178.4167,36.09,75,87,9.66,overcast clouds
270,Havelock,US,34.8791,-76.9013,78.8,54,0,17.27,clear sky
271,Fortuna,US,40.5982,-124.1573,65.32,63,20,8.05,few clouds
272,Kjopsvik,NO,68.097,16.3742,45.18,92,99,6.02,overcast clouds
273,Oyama,JP,36.3,139.8,54.9,93,100,13.15,heavy intensity rain
274,Veraval,IN,20.9,70.3667,81.09,84,23,8.21,few clouds
275,La Asuncion,VE,11.0333,-63.8628,83.93,74,16,18.41,few clouds
276,San Ramon,US,37.7799,-121.978,82.62,65,0,10.36,clear sky
277,Meulaboh,ID,4.1363,96.1285,76.12,90,99,3.6,overcast clouds
278,Rio Brilhante,BR,-21.8019,-54.5464,73.51,53,81,6.6,broken clouds
279,Togur,RU,58.3631,82.8265,37.09,90,19,6.02,few clouds
280,Pitimbu,BR,-7.4706,-34.8086,75.79,77,5,13.13,clear sky
281,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,40,13.8,scattered clouds
282,Zwedru,LR,6.0667,-8.1281,72.39,98,100,2.64,overcast clouds
283,Springbok,ZA,-29.6643,17.8865,55.04,35,0,9.69,clear sky
284,Alekseyevka,RU,50.6309,38.6903,51.73,94,36,6.67,scattered clouds
285,Phonhong,LA,18.5007,102.4166,76.51,93,99,1.41,overcast clouds
286,Sakakah,SA,29.9697,40.2064,90.97,16,82,7.25,broken clouds
287,Tahe,CN,52.3333,124.7333,67.91,40,69,3.15,broken clouds
288,Klamath Falls,US,42.2249,-121.7817,67.48,37,75,16.11,broken clouds
289,Finnsnes,NO,69.2296,17.9811,40.75,90,100,16.8,overcast clouds
290,Santiago Del Estero,AR,-27.7951,-64.2615,58.33,72,95,4.68,overcast clouds
291,Matay,EG,28.419,30.7792,81.01,44,0,8.32,clear sky
292,Port-Gentil,GA,-0.7193,8.7815,75.16,94,40,3.44,scattered clouds
293,Ostrovnoy,RU,68.0531,39.5131,52.27,86,99,4.79,overcast clouds
294,Port Lincoln,AU,-34.7333,135.8667,54.5,65,77,17.43,broken clouds
295,Saravan,AM,39.7196,45.6483,59.38,38,0,6.67,clear sky
296,Panama City,PA,8.9936,-79.5197,82.92,83,40,5.75,scattered clouds
297,Codrington,AU,-38.2667,141.9667,50.04,71,87,18.5,overcast clouds
298,Jishu,CN,44.3167,126.8,53.19,78,100,14.0,overcast clouds
299,Kajaani,FI,64.2273,27.7285,44.65,70,0,11.5,clear sky
300,Vila Velha,BR,-20.3297,-40.2925,66.94,79,0,3.44,clear sky
301,Iranshahr,IR,27.2025,60.6848,82.54,12,0,2.73,clear sky
302,Fort Nelson,CA,58.8053,-122.7002,58.59,72,100,5.75,light rain
303,Zonguldak,TR,41.25,31.8333,55.58,89,1,3.62,clear sky
304,Mazyr,BY,52.0495,29.2456,51.6,85,14,4.03,few clouds
305,Pangnirtung,CA,66.1451,-65.7125,36.54,84,39,1.43,scattered clouds
306,Charters Towers,AU,-20.1,146.2667,73.54,68,67,0.92,broken clouds
307,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,4.61,clear sky
308,Grand Gaube,MU,-20.0064,57.6608,72.0,78,9,3.0,clear sky
309,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,25,0,12.66,clear sky
310,Aysha,RU,55.8704,48.6319,59.45,91,100,1.48,overcast clouds
311,Cabedelo,BR,-6.9811,-34.8339,75.87,78,3,13.78,light rain
312,Hovd,MN,48.0056,91.6419,56.37,21,0,15.77,clear sky
313,Ayagoz,KZ,47.9714,80.4392,42.82,76,69,12.06,broken clouds
314,Portobelo,PA,9.55,-79.65,80.73,82,100,1.86,overcast clouds
315,Yalvac,TR,38.2956,31.1778,59.23,80,35,3.2,scattered clouds
316,Riyadh,SA,24.6877,46.7219,84.34,9,0,4.29,clear sky
317,Bedele,ET,8.456,36.353,54.61,89,100,2.42,overcast clouds
318,Catamarca,AR,-28.4696,-65.7852,55.78,61,9,4.0,clear sky
319,Isiolo,KE,0.3546,37.5822,64.33,71,66,4.18,broken clouds
320,Saskylakh,RU,71.9167,114.0833,36.54,57,40,7.99,scattered clouds
321,Naliya,IN,23.2667,68.8333,79.99,82,6,13.02,clear sky
322,Kargasok,RU,59.0556,80.8572,39.13,85,22,5.66,few clouds
323,Westport,US,41.1415,-73.3579,73.22,52,0,8.05,clear sky
324,Kimberley,ZA,-28.7323,24.7623,40.69,75,0,6.91,clear sky
325,Aklavik,CA,68.2191,-135.0107,44.67,46,39,6.31,scattered clouds
326,Mogadishu,SO,2.0371,45.3438,78.55,79,80,19.95,broken clouds
327,Anchorage,US,61.2181,-149.9003,77.88,37,0,10.36,clear sky
328,Balabac,PH,7.9868,117.0645,83.97,70,77,2.37,broken clouds
329,Hofn,IS,64.2539,-15.2082,52.38,80,86,7.63,overcast clouds
330,Huarmey,PE,-10.0681,-78.1522,66.76,83,91,11.77,overcast clouds
331,Guerrero Negro,MX,27.9769,-114.0611,66.85,72,6,23.71,clear sky
332,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,44,75,13.42,broken clouds
333,Pochutla,MX,15.7432,-96.4661,82.81,74,99,5.77,overcast clouds
334,Bage,BR,-31.3314,-54.1069,59.59,97,100,1.74,light rain
335,Pangody,RU,65.85,74.4859,38.16,65,88,7.43,overcast clouds
336,Burnie,AU,-41.0667,145.9167,49.39,68,60,15.7,broken clouds
337,Coacoyul,MX,17.8058,-99.11,79.65,55,97,5.35,overcast clouds
338,Lyngseidet,NO,69.5763,20.2189,44.6,79,99,7.47,overcast clouds
339,Toora-Khem,RU,52.4675,96.11,53.08,51,86,5.32,overcast clouds
340,Ponta Delgada,PT,37.7333,-25.6667,69.49,94,40,1.14,scattered clouds
341,Komsomolskiy,UZ,40.4272,71.7189,68.72,49,3,6.91,clear sky
342,Asau,RO,46.4333,26.4,58.95,95,99,3.27,overcast clouds
343,Dhanera,IN,24.5167,72.0167,77.74,73,54,6.78,broken clouds
344,Kruisfontein,ZA,-34.0033,24.7314,51.89,83,16,5.77,few clouds
345,Coralville,US,41.6764,-91.5805,82.29,39,20,12.66,few clouds
346,Faanui,PF,-16.4833,-151.75,79.9,76,77,15.21,broken clouds
347,Biak,ID,-0.9131,122.8766,79.57,78,50,3.51,scattered clouds
